,result,place_lat,place_lng,courier_lng,courier_lat,distance_place_to_dropoff,courier_vehicle,job_status,time_local
54736,ignored,37.808387,-122.414698,-122.440184,37.80349,0.787741486,car,dropoff_complete,Thursday 22:46:09
60230,accepted,37.808387,-122.414698,-122.413091,37.794271,0.787741486,bicycle,dropoff_complete,Saturday 19:11:19
44,ignored,37.807922,-122.417917,-122.404062,37.787048,1.50536274,bicycle,dropoff_complete,Friday 19:38:23
6866,rejected,37.807922,-122.417917,-122.438394,37.800534,1.1777117,bicycle,dropoff_complete,Monday 18:18:20
13519,accepted,37.807922,-122.417917,-122.40896,37.796748,1.231173929,bicycle,dropoff_complete,Monday 18:18:32
21605,ignored,37.807922,-122.417917,-122.400302,37.802583,0.764523904,car,dropoff_complete,Saturday 14:08:13
21606,accepted,37.807922,-122.417917,-122.42342,37.790075,0.764523904,bicycle,dropoff_complete,Saturday 14:07:51
27122,rejected,37.807922,-122.417917,-122.408035,37.784509,1.041017803,bicycle,dropoff_complete,Saturday 11:23:33
27126,ignored,37.807922,-122.417917,-122.425695,37.79344,1.041017803,bicycle,dropoff_complete,Saturday 11:22:02
23319,rejected,37.8078886,-122.4181141,-122.419116,37.799484,1.741323435,bicycle,dropoff_complete,Saturday 21:07:38
30662,ignored,37.8078886,-122.4181141,-122.432124,37.786253,11.53451989,car,dropoff_complete,Sunday 19:45:24
37995,rejected,37.8078886,-122.4181141,-122.396232,37.797711,4.21027093,bicycle,dropoff_complete,Friday 18:31:47
56439,ignored,37.8078886,-122.4181141,-122.433931,37.789255,2.723350108,bicycle,dropoff_complete,Saturday 10:49:09
65195,accepted,37.8078886,-122.4181141,-122.421551,37.797281,2.188557045,bicycle,dropoff_complete,Monday 11:24:56
61242,ignored,37.806283,-122.422832,-122.413011,37.790853,6.41837395,bicycle,dropoff_complete,Friday 18:53:25
61244,accepted,37.806283,-122.422832,-122.404063,37.798701,6.41837395,bicycle,dropoff_complete,Friday 18:52:33
25603,rejected,37.806132,-122.41285,-122.431712,37.800633,0.240746107,bicycle,dropoff_complete,Saturday 18:05:26
39484,rejected,37.806132,-122.41285,-122.478599,37.742886,1.60462672,truck,dropoff_complete,Wednesday 22:18:41
40428,rejected,37.806132,-122.41285,-122.419363,37.779508,1.548913968,bicycle,dropoff_complete,Saturday 23:03:15
59740,accepted,37.806132,-122.41285,-122.424173,37.790845,0.950404607,van,dropoff_complete,Sunday 20:36:30
59745,ignored,37.806132,-122.41285,-122.412189,37.795486,0.950404607,bicycle,dropoff_complete,Sunday 20:34:33
70372,ignored,37.806132,-122.41285,-122.395296,37.774933,0.419122052,bicycle,dropoff_complete,Thursday 20:37:43
4604,ignored,37.805919,-122.40514,-122.415229,37.781663,1.410373846,bicycle,dropoff_complete,Tuesday 18:21:04
14310,rejected,37.805919,-122.40514,-122.436144,37.799594,7.120707374,bicycle,dropoff_complete,Thursday 19:08:12
15124,ignored,37.805919,-122.40514,-122.402225,37.781096,2.424336908,car,dropoff_complete,Friday 14:42:32
25401,rejected,37.805919,-122.40514,-122.431059,37.773977,2.424336908,car,dropoff_complete,Sunday 16:15:48
41187,rejected,37.805919,-122.40514,-122.409304,37.790179,1.410373846,bicycle,dropoff_complete,Monday 17:54:12
56653,ignored,37.805919,-122.40514,-122.396151,37.793593,6.002991396,bicycle,dropoff_complete,Saturday 17:32:12
57385,ignored,37.805919,-122.40514,-122.433932,37.801655,1.148315875,bicycle,dropoff_complete,Saturday 16:52:29
67458,ignored,37.805919,-122.40514,-122.418788,37.788516,2.114637939,bicycle,dropoff_complete,Saturday 13:12:03
22548,ignored,37.80564826,-122.4219641,-122.413037,37.779982,1.269486117,bicycle,dropoff_complete,Friday  8:13:16
40807,rejected,37.805582,-122.413895,-122.426865,37.795303,0.478957799,car,dropoff_complete,Sunday 14:29:19
31044,accepted,37.80518,-122.410233,-122.438481,37.800646,0.355649406,bicycle,dropoff_complete,Thursday 12:05:33
31045,ignored,37.80518,-122.410233,-122.393878,37.796012,0.355649406,bicycle,dropoff_complete,Thursday 12:05:08
38471,rejected,37.80518,-122.410233,-122.407264,37.772457,0.266011805,bicycle,dispatch_failed,Friday 13:05:22
38477,ignored,37.80518,-122.410233,-122.393781,37.796094,0.266011805,bicycle,dispatch_failed,Friday 13:03:08
39123,ignored,37.80478737,-122.4169756,-122.44598,37.775713,0.361616396,bicycle,dropoff_complete,Saturday 19:50:58
438,accepted,37.804562,-122.432885,-122.435265,37.78769,0.865690529,car,dropoff_complete,Sunday 15:49:17
6802,accepted,37.804562,-122.432885,-122.436077,37.79822,0.501648945,bicycle,dropoff_complete,Saturday 17:48:52
12628,accepted,37.804562,-122.432885,-122.436027,37.800246,1.123202552,car,dropoff_complete,Wednesday 20:29:41
12631,ignored,37.804562,-122.432885,-122.417913,37.807754,1.123202552,bicycle,dropoff_complete,Wednesday 20:28:32
31537,ignored,37.804562,-122.432885,-122.431205,37.784148,0.909026603,car,dispatch_failed,Sunday 17:42:53
36080,ignored,37.804562,-122.432885,-122.438122,37.800502,0.588137205,bicycle,dropoff_complete,Saturday 19:34:48
37486,ignored,37.804562,-122.432885,-122.409234,37.800291,1.45518741,car,dispatch_failed,Sunday 17:40:00
37492,rejected,37.804562,-122.432885,-122.447287,37.789744,1.45518741,bicycle,dispatch_failed,Sunday 17:37:35
40521,ignored,37.804562,-122.432885,-122.412106,37.791061,1.133377853,bicycle,dropoff_complete,Tuesday 17:12:19
67076,accepted,37.802764,-122.403095,-122.395617,37.791319,0.244574184,bicycle,dropoff_complete,Thursday 10:39:59
69520,rejected,37.801714,-122.399025,-122.42911,37.775194,1.445933592,bicycle,dispatch_failed,Friday  9:33:10
40144,ignored,37.801578,-122.412224,-122.400185,37.788854,0.418429122,bicycle,dropoff_complete,Tuesday 12:46:01
29334,rejected,37.801229,-122.425626,-122.403422,37.794846,4.023721839,bicycle,dropoff_complete,Sunday 17:04:06
36416,rejected,37.801007,-122.409575,-122.422298,37.787529,0.800015424,car,dropoff_complete,Sunday 13:19:32
2597,rejected,37.800766,-122.436702,-122.430883,37.774238,2.038475552,bicycle,dispatch_failed,Saturday 18:39:23
2604,ignored,37.800766,-122.436702,-122.437886,37.800526,2.038475552,bicycle,dispatch_failed,Saturday 18:36:29
8214,ignored,37.800766,-122.436702,-122.431067,37.765592,1.53574342,bicycle,dropoff_complete,Friday 17:50:01
8215,accepted,37.800766,-122.436702,-122.433131,37.804389,1.53574342,bicycle,dropoff_complete,Friday 17:49:36
