date,theory,whiplash,sniper,selma,imitation,budapest,boyhood,birdman
2/22/2015 22:46,0,2,5,1,6,7,21,73
2/22/2015 22:47,11,55,55,105,161,90,439,1634
2/22/2015 22:48,36,61,53,98,165,86,351,1296
2/22/2015 22:49,21,61,165,66,111,62,188,769
2/22/2015 22:50,72,41,153,64,92,57,122,658
2/22/2015 22:51,326,18,58,37,54,25,72,295
2/22/2015 22:52,333,13,51,21,33,20,30,240
2/22/2015 22:53,336,12,44,19,35,20,34,218
2/22/2015 22:54,327,15,56,36,28,27,46,226
2/22/2015 22:55,280,21,58,32,42,37,39,270
2/22/2015 22:56,280,16,60,36,44,34,45,262
2/22/2015 22:57,136,14,30,24,32,21,42,155
2/22/2015 22:58,99,13,20,25,24,21,52,176
2/22/2015 22:59,134,32,49,32,41,33,84,211
2/22/2015 23:00,150,50,56,46,40,50,162,363
2/22/2015 23:01,161,70,66,51,48,67,199,468
2/22/2015 23:02,191,51,57,75,60,51,191,461
2/22/2015 23:03,120,116,132,86,69,72,384,682
2/22/2015 23:04,187,185,281,235,112,135,472,973
2/22/2015 23:05,44,49,135,44,23,36,306,2087
2/22/2015 23:06,40,67,176,54,35,60,383,1925
2/22/2015 23:07,66,62,161,50,44,65,440,1799
2/22/2015 23:08,45,89,196,60,34,74,424,1674
2/22/2015 23:09,47,68,211,57,45,86,453,1659
2/22/2015 23:10,67,94,217,67,44,75,443,1574
2/22/2015 23:11,60,100,254,85,69,93,484,1508
2/22/2015 23:12,61,83,253,65,64,84,395,1529
2/22/2015 23:13,82,124,253,85,66,87,412,1486
2/22/2015 23:14,77,123,260,81,58,103,402,1470
2/22/2015 23:15,69,103,263,59,64,92,407,1441
2/22/2015 23:16,70,102,252,72,78,90,401,1514
2/22/2015 23:17,79,122,256,80,73,95,429,1423
2/22/2015 23:18,84,100,251,81,65,112,413,1365
2/22/2015 23:19,81,102,251,90,70,97,386,1360
2/22/2015 23:20,94,121,274,83,65,126,406,1350
2/22/2015 23:21,100,122,262,69,66,124,362,1301
2/22/2015 23:22,85,102,239,89,75,109,370,1368
2/22/2015 23:23,79,122,275,87,65,108,370,1309
2/22/2015 23:24,82,104,272,69,52,96,347,1305
2/22/2015 23:25,61,110,291,91,73,102,364,1296
2/22/2015 23:26,92,101,328,95,67,111,341,1230
2/22/2015 23:27,56,80,192,83,45,69,220,898
